place,place_address,station_name,station_address,distance
Instalación Deportiva Municipal Básica Barceló,PLAZA BARCELO S/N,Bicipark Recuerdo,"Calle Hiedra, 26",4918802.02
Instalación Deportiva Municipal Básica Barrio El Querol - Spartac de Manoteras,CALLE TIJOLA 1,Bicipark Recuerdo,"Calle Hiedra, 26",4924473.14
Instalación Deportiva Municipal Básica Barrio Goya,CALLE SEPULVEDA 9,Bicipark Recuerdo,"Calle Hiedra, 26",4916582.52
Instalación Deportiva Municipal Básica Barrio IV,CALLE LUIS DE HOYOS SAINZ 150,Bicipark Recuerdo,"Calle Hiedra, 26",4915633.2
Instalación Deportiva Municipal Básica Barrio de Las Cárcavas,CAMINO MONTORO 4,Bicipark Recuerdo,"Calle Hiedra, 26",4924180.15
Instalación Deportiva Municipal Básica Barrio de Las Cárcavas- Aurora Redondo,CALLE RAFAELA APARICIO 3,Bicipark Recuerdo,"Calle Hiedra, 26",4924095.23
Instalación Deportiva Municipal Básica Barrio de Santa Ana - Andrés Navarrete,CALLE HOSPITALET DE LLOBREGAT 11,Bicipark Recuerdo,"Calle Hiedra, 26",4926267.09
Instalación Deportiva Municipal Básica Barrio del Aeropuerto,CALLE MEDINA DE POMAR 14,Bicipark Recuerdo,"Calle Hiedra, 26",4920623.46
Instalación Deportiva Municipal Básica Baterías - Barrio Alegría,"CALLE JUAN PÉREZ ZÚÑIGA s/n Baterías, 2",Bicipark Recuerdo,"Calle Hiedra, 26",4920020.0
Instalación Deportiva Municipal Básica Belzunegui,CALLE BELZUNEGUI  c/v Berrioplana,Bicipark Recuerdo,"Calle Hiedra, 26",4913368.3
Instalación Deportiva Municipal Básica Boston,CALLE BOSTON 1,Bicipark Recuerdo,"Calle Hiedra, 26",4919713.31
Instalación Deportiva Municipal Básica Briviesca,CALLE BRIVIESCA 4,Bicipark Recuerdo,"Calle Hiedra, 26",4924644.51
Instalación Deportiva Municipal Básica Brujas,CALLE BRUJAS 32 esquina C/ Hacienda de Pavones,Bicipark Recuerdo,"Calle Hiedra, 26",4915226.18
Instalación Deportiva Municipal Básica Brunete,CALLE BRUNETE 1,Bicipark Recuerdo,"Calle Hiedra, 26",4929341.57
Instalación Deportiva Municipal Básica Burgo de Osma,CALLE BURGO DE OSMA 5,Bicipark Recuerdo,"Calle Hiedra, 26",4923194.23
Instalación Deportiva Municipal Básica Burgos,AVENIDA BURGOS 18B ,Bicipark Recuerdo,"Calle Hiedra, 26",4924052.66
Instalación Deportiva Municipal Básica C. F. Nuestra Señora del Buen Camino,GLORIETA RIO ZANCARA 1,Bicipark Recuerdo,"Calle Hiedra, 26",4922308.79
Instalación Deportiva Municipal Básica C.P. Aragón,CALLE ANTONIO MAIRENA 23,Bicipark Recuerdo,"Calle Hiedra, 26",4914450.99
Instalación Deportiva Municipal Básica Calanda,CALLE CALANDA 30,Bicipark Recuerdo,"Calle Hiedra, 26",4922305.26
Instalación Deportiva Municipal Básica Caleruega,CALLE CALERUEGA 52,Bicipark Recuerdo,"Calle Hiedra, 26",4924598.23
Instalación Deportiva Municipal Básica Camino Viejo de Leganés,CALLE CAMINO VIEJO DE LEGANES S/N Carrero Juan Ramón,Bicipark Recuerdo,"Calle Hiedra, 26",4914004.95
Instalación Deportiva Municipal Básica Campo de Fútbol San Martín de Porres,PASEO ERMITA DEL SANTO S/N Parque de San Isidro,Bicipark Recuerdo,"Calle Hiedra, 26",4916044.34
Instalación Deportiva Municipal Básica Campo de Fútbol Tierra,AVENIDA DOCTOR GARCIA TAPIA 113,Bicipark Recuerdo,"Calle Hiedra, 26",4916677.01
Instalación Deportiva Municipal Básica Campo de fútbol de la A. D. Orcasitas,AVENIDA RAFAELA YBARRA 119,Bicipark Recuerdo,"Calle Hiedra, 26",4912306.63
Instalación Deportiva Municipal Básica Canal de Panamá,CALLE CANAL DE PANAMA S/N,Bicipark Recuerdo,"Calle Hiedra, 26",4920008.21
Instalación Deportiva Municipal Básica Canillas - Club Deportivo Canillas,CALLE AGUSTIN DE ITURBIDE 1,Bicipark Recuerdo,"Calle Hiedra, 26",4923034.19
