place,place_address,station_name,station_address,distance
Instalación Deportiva Municipal Básica Jardín Papelera Peninsular,CALLE ARGANDA 3,Madrid Río-Yeserías,Paseo de Yeserías nº 45,346.27
Instalación Deportiva Municipal Básica Jardín de Portugalete,CALLE ULISES 23,Carlota O’Neill,Calle Carlota O'Neill nº 32,1569.54
Instalación Deportiva Municipal Básica Jazmin,CALLE JAZMIN 36,Manuel Caldeiro,Paseo de la Castellana nº 298,1582.31
Instalación Deportiva Municipal Básica Jesús Aprendiz,CALLE ANTONIO DIAZ-CAÑABATE 9 c/v Arias Montano,Niño Jesús,Calle Doctor Esquerdo nº 161,201.17
Instalación Deportiva Municipal Básica Jesús Divino Obrero,CALLE HUMANES 10,Sierra Toledana,Camino de Valderribas nº 94,1138.58
Instalación Deportiva Municipal Básica Joaquín Ibarra,CALLE JOAQUIN IBARRA S/N Frente al nº 24,Carlota O’Neill,Calle Carlota O'Neill nº 32,5029.26
Instalación Deportiva Municipal Básica José Durán,AVENIDA PARQUE DE PALOMERAS BAJAS 10,Concordia,Calle Arroyo del Olivar nº 6,1483.62
Instalación Deportiva Municipal Básica José Luis Sánchez Juez (antiguo Los Coronales),CALLE BAHIA DE MALAGA 5,Carlota O’Neill,Calle Carlota O'Neill nº 32,5173.38
Instalación Deportiva Municipal Básica José de Cadalso,CALLE JOSE DE CADALSO  C/V General Romero Basart,Caramuel,Calle Caramuel nº 51,4858.88
Instalación Deportiva Municipal Básica José de Pasamonte,AVENIDA DOCTOR GARCIA TAPIA 51,Marroquina,Calle Camino de los Vinateros nº 108,405.77
Instalación Deportiva Municipal Básica Juan Clemente Núñez,CALLE JUAN CLEMENTE 1,Carlota O’Neill,Calle Carlota O'Neill nº 32,2754.22
Instalación Deportiva Municipal Básica Juan de Mariana,CALLE JUAN DE MARIANA 8,Juan Martín,Calle Juan Martín el Empecinado nº 16,276.93
Instalación Deportiva Municipal Básica Juan de Vera,PLAZA CASAR DE CACERES  (Juan de Vera - Batalla de Belchite),Paseo de las Delicias,Paseo de las Delicias nº 92,205.03
Instalación Deportiva Municipal Básica Julián González,CALLE JULIAN GONZALEZ 4,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,242.94
Instalación Deportiva Municipal Básica La Cabrera,CALLE LA CABRERA 33,Francos Rodríguez,Calle Francos Rodríguez nº 62,1956.65
Instalación Deportiva Municipal Básica La Chimenea,CALLE VALLANDES 5 c/v Hermenegildo Bielsa y Calesas,Antonio López,Calle Eugenio Caxes frente al nº 12,147.79
Instalación Deportiva Municipal Básica La Chopera,CALLE ESCULTOR PERESEJO 86,Facultad Derecho,Avenida Complutense nº 23,5278.73
Instalación Deportiva Municipal Básica La Diligencia,CALLE DILGENCIA 7 c/v calle Puerto Velate,Concordia,Calle Arroyo del Olivar nº 6,690.76
Instalación Deportiva Municipal Básica La Mancha,CALLE TOMELLOSO 21 Próximo a la Av. de Córdoba (P.D. Almendral),Glorieta de Cádiz,Calle Antonio López nº 129,931.47
Instalación Deportiva Municipal Básica La Masó,CALLE LA MASO 34 c/v Collado de Cerro Malejo,Pedro Rico,Calle Pedro Rico nº 4,2404.53
Instalación Deportiva Municipal Básica La Perla,CALLE CORINDON 3,Embajadores 191,Calle Sodio nº 1B,2444.5
Instalación Deportiva Municipal Básica Laminador de Tormentas - Valdebebas,calle Antonio Flórez s/n esquina avenida Francisco Javier Sáenz de Oiza ,Manuel Caldeiro,Paseo de la Castellana nº 298,3832.29
Instalación Deportiva Municipal Básica Las Rosas,AVENIDA NIZA s/n,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2926.64
Instalación Deportiva Municipal Básica Las Vistillas,PLAZA GABRIEL MIRO ,Segovia 26,Calle Segovia nº 26,172.79
Instalación Deportiva Municipal Básica Lili Alvarez,"CALLE LA RIVIERA 4 c/v calle Provenza, 3 Cañón Río Lobos",Pavones,Calle Hacienda de Pavones nº 342,763.25
Instalación Deportiva Municipal Básica Lonja de la Seda,CALLE LONJA DE LA SEDA 32 Parc. 2.1 del P.A.U. de Carabanchel,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,5289.61
Instalación Deportiva Municipal Básica Los Arbolitos,INST. DEPORTIVA BASICA RONDA SUR ,Concordia,Calle Arroyo del Olivar nº 6,2160.64
Instalación Deportiva Municipal Básica Los Caprichos,AVENIDA CAPRICHOS 1,Ermita Santo,Paseo de la Ermita del Santo nº 48,362.39
Instalación Deportiva Municipal Básica Los Cármenes,CALLE ALHAMBRA 35,Caramuel,Calle Caramuel nº 51,1835.08
Instalación Deportiva Municipal Básica Los Llanos,CALLE FLORENCIO CASTILLO 3,Carlota O’Neill,Calle Carlota O'Neill nº 32,2639.81
Instalación Deportiva Municipal Básica Los Morales,CALLE MORALES 31 Parc. 3.16.2 del P.A.U. de Carabanchel,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,5861.73
Instalación Deportiva Municipal Básica Los Morales - Patrimonio Humanidad I,CALLE PATRIMONIO DE LA HUMANIDAD 37 Parc. 3.10.4 del P.A.U. de Carabanchel,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,5654.48
Instalación Deportiva Municipal Básica Los Morales - Patrimonio Humanidad II,"CALLE MORALES  C/ Patrimonio de la Humanidad, 27. Parc. 3.11.3 del P.A.U. de Carabanchel",Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,5748.64
Instalación Deportiva Municipal Básica Los Poblados,AVENIDA POBLADOS  C/V Antig. Carretera a Leganés,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,3282.9
Instalación Deportiva Municipal Básica Los Rosales I,AVENIDA LOS ROSALES 131,Embajadores 191,Calle Sodio nº 1B,4303.19
Instalación Deportiva Municipal Básica Lucano,CALLE LUCANO  c/v Esfinge,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2853.0
Instalación Deportiva Municipal Básica Luis Buitrago,CALLE LUIS BUITRAGO 7,Pío XII,Avenida Pío XII nº 3,2629.01
Instalación Deportiva Municipal Básica Luis Mitjans,CALLE LUIS MITJANS 15,Valderribas,Calle Doctor Esquerdo nº 191,282.6
Instalación Deportiva Municipal Básica Lyon - Flandes,"CALLE LYON 136 (c/v Calle Flandes, 4 posterior)",Pavones,Calle Hacienda de Pavones nº 342,949.38
Instalación Deportiva Municipal Básica Machupichu,AVENIDA MACHUPICHU 50,Carlota O’Neill,Calle Carlota O'Neill nº 32,2422.88
Instalación Deportiva Municipal Básica Madrid - Las Tablas,CALLE FROMISTA 5,Pedro Rico,Calle Pedro Rico nº 4,3282.16
Instalación Deportiva Municipal Básica Madrid Sur,CALLE PUERTO DE VELATE 18,Concordia,Calle Arroyo del Olivar nº 6,1349.06
Instalación Deportiva Municipal Básica Mallorca,CALLE AGASTIA  esq. Juan Pérez de Zúñiga,Carlota O’Neill,Calle Carlota O'Neill nº 32,145.57
Instalación Deportiva Municipal Básica Manizales,CALLE GALAPA 10 c/v Avda. Manizales,Carlota O’Neill,Calle Carlota O'Neill nº 32,3481.9
Instalación Deportiva Municipal Básica Mar de Japón,CALLE MAR DEL JAPON 7,Pío XII,Avenida Pío XII nº 3,3331.47
Instalación Deportiva Municipal Básica Maracena,CALLE MARACENA 1 c/v Moreja -Orcasur-,Glorieta de Cádiz,Calle Antonio López nº 129,2199.8
Instalación Deportiva Municipal Básica Maris Stella,CALLE DOCTOR TOLOSA LATOUR 18 Frente C. Informat. S.S.,Glorieta de Cádiz,Calle Antonio López nº 129,1506.94
Instalación Deportiva Municipal Básica Martala I,CALLE PICO DE LOS ARTILLEROS 5 posterior,Marroquina,Calle Camino de los Vinateros nº 108,551.84
Instalación Deportiva Municipal Básica Maruja Mallo,AVENIDA MARUJA MALLO 7 c/v Conchita Montes,Carlota O’Neill,Calle Carlota O'Neill nº 32,4123.71
Instalación Deportiva Municipal Básica María Inmaculada,CAMINO CRUCES  frente Condesa de Teba,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4436.85
Instalación Deportiva Municipal Básica María de Austria,PARQUE EMPERATRIZ MARÍA DE AUSTRIA  Parque Sur,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2252.76
Instalación Deportiva Municipal Básica Matilde Gayo,CALLE MATILDE GAYO 4,Antonio López,Calle Eugenio Caxes frente al nº 12,206.11
Instalación Deportiva Municipal Básica Maíz,CALLE RICARDO BELTRAN Y ROZPIDE 28 frente calle Maíz,Glorieta de Cádiz,Calle Antonio López nº 129,1970.92
Instalación Deportiva Municipal Básica Medio Amposta,CALLE ALBERIQUE  c/v Alconera,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,1929.71
Instalación Deportiva Municipal Básica Mercedes Arteaga,CALLE MERCEDES ARTEAGA S/N c/v San Pantaleón,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,771.01
Instalación Deportiva Municipal Básica Miguel Aracil,CALLE JOAQUIN LORENZO 39,Francos Rodríguez,Calle Francos Rodríguez nº 62,2542.35
Instalación Deportiva Municipal Básica Miguel Hernández (Parque lineal del Manzanares),AVENIDA MIGUEL HERNANDEZ 48 frente al 36-38,Pavones,Calle Hacienda de Pavones nº 342,1319.19
